log_id,user_id,query,clicked_restaurant_id,clicked_rank,action,timestamp
1,user_048,masala dosa,7,1,click,1783243688
2,user_006,paner butter masala,1,4,click,1783206779
3,user_039,pure veg thali in koramangala under 400,1,2,order,1783738387
4,user_001,biryani in BTM Layout,4,2,order,1784240907
5,user_049,biryani in Koramangala,4,1,order,1783219450
6,user_039,Italian food,2,1,order,1785062896
7,user_006,Desserts dishes,8,1,click,1783105528
8,user_006,chinese in BTM Layout,2,3,order,1783979698
9,user_011,Fast Food dishes,6,2,add_to_cart,1783113276
10,user_035,chinese under 350,5,2,order,1784405344
11,user_045,traditional north meal,1,1,click,1783774490
12,user_026,North Indian restaurant,1,5,add_to_cart,1783705613
13,user_042,pure veg pizza in koramangala under 200,2,3,click,1783848223
14,user_017,pisa under 300,2,1,order,1784332116
15,user_033,veg food under 300,1,1,click,1783454855
16,user_028,classic woodfired pizza,2,1,order,1785313130
17,user_017,pure veg thali in indiranagar under 400,1,1,click,1785066009
18,user_042,Truffles,6,1,order,1783477154
19,user_047,dosa without potato,7,1,click,1784065561
20,user_039,pure veg thali in koramangala under 400,1,1,click,1785076112
21,user_001,pure veg thali in indiranagar under 400,1,2,click,1783283000
22,user_016,chinese in Whitefield,5,1,click,1784852184
23,user_035,Empire Restaurant,4,1,order,1785119836
24,user_039,pure veg thali in indiranagar under 400,1,1,click,1784121225
25,user_042,spicy schezwan gravy,5,1,click,1783853584
26,user_002,Chinese restaurant,5,3,click,1782843953
27,user_005,chinese in Koramangala,6,1,click,1784970320
28,user_032,spicy schezwan gravy,5,1,order,1783832997
29,user_013,pure veg pizza in hsr layout under 200,2,2,add_to_cart,1784590410
30,user_004,curry without dairy,1,1,click,1784502509
31,user_016,pizza under 200,2,2,click,1784583292
32,user_016,pure veg biryani in koramangala under 300,2,1,order,1785122024
33,user_001,biryany in hsr,4,1,click,1784518417
34,user_026,south indian under 500,3,4,order,1782822833
35,user_030,biryani in Jayanagar,4,5,click,1783610282
36,user_038,dal makhani,1,3,add_to_cart,1783053561
37,user_011,pure veg thali in indiranagar under 400,1,1,click,1783101192
38,user_016,refreshing cold dessert,8,1,click,1783157656
39,user_037,peri peri fry,6,2,click,1784131575
40,user_009,pure veg pizza in koramangala under 200,2,1,order,1784139936
41,user_001,gulab jamun,8,1,click,1785068795
42,user_009,biryani in Jayanagar,2,1,click,1784363701
43,user_035,pure veg biryani in hsr layout under 250,4,1,add_to_cart,1783248266
44,user_017,south indian under 250,7,4,click,1783956104
45,user_046,chinese under 500,5,1,order,1783867071
46,user_006,mishti doi,8,2,click,1782828664
47,user_041,chinese under 250,3,1,order,1785127708
