log_id,user_id,query,clicked_restaurant_id,clicked_rank,action,timestamp
1,user_048,masala dosa,7,1,click,1783249032
2,user_006,paner butter masala,1,4,click,1783212123
3,user_039,pure veg thali in koramangala under 400,1,2,order,1783743731
4,user_001,biryani in BTM Layout,4,2,order,1784246251
5,user_049,biryani in Koramangala,4,1,order,1783224794
6,user_039,Italian food,2,1,order,1785068240
7,user_006,Desserts dishes,8,1,click,1783110872
8,user_006,chinese in BTM Layout,2,3,order,1783985042
9,user_011,Fast Food dishes,6,2,add_to_cart,1783118620
10,user_035,chinese under 350,5,2,order,1784410688
11,user_045,traditional north meal,1,1,click,1783779834
12,user_026,North Indian restaurant,1,5,add_to_cart,1783710957
13,user_042,pure veg pizza in koramangala under 200,2,3,click,1783853567
14,user_017,pisa under 300,2,1,order,1784337460
15,user_033,veg food under 300,1,1,click,1783460199
16,user_028,classic woodfired pizza,2,1,order,1785318474
17,user_017,pure veg thali in indiranagar under 400,1,1,click,1785071353
18,user_042,Truffles,6,1,order,1783482498
19,user_047,dosa without potato,7,1,click,1784070905
20,user_039,pure veg thali in koramangala under 400,1,1,click,1785081456
21,user_001,pure veg thali in indiranagar under 400,1,2,click,1783288344
22,user_016,chinese in Whitefield,5,1,click,1784857528
23,user_035,Empire Restaurant,4,1,order,1785125180
24,user_039,pure veg thali in indiranagar under 400,1,1,click,1784126569
25,user_042,spicy schezwan gravy,5,1,click,1783858928
26,user_002,Chinese restaurant,5,3,click,1782849297
27,user_005,chinese in Koramangala,6,1,click,1784975664
28,user_032,spicy schezwan gravy,5,1,order,1783838341
29,user_013,pure veg pizza in hsr layout under 200,2,2,add_to_cart,1784595754
30,user_004,curry without dairy,1,1,click,1784507853
31,user_016,pizza under 200,2,2,click,1784588636
32,user_016,pure veg biryani in koramangala under 300,2,1,order,1785127368
33,user_001,biryany in hsr,4,1,click,1784523761
34,user_026,south indian under 500,3,4,order,1782828177
35,user_030,biryani in Jayanagar,4,5,click,1783615626
36,user_038,dal makhani,1,3,add_to_cart,1783058905
37,user_011,pure veg thali in indiranagar under 400,1,1,click,1783106536
38,user_016,refreshing cold dessert,8,1,click,1783163000
39,user_037,peri peri fry,6,2,click,1784136919
40,user_009,pure veg pizza in koramangala under 200,2,1,order,1784145280
